filename, n, cpu_time_used
740.node, 740, 0.002266
741.node, 741, 0.002248
742.node, 742, 0.002243
743.node, 743, 0.00294
744.node, 744, 0.002385
745.node, 745, 0.002229
746.node, 746, 0.00223
747.node, 747, 0.002252
748.node, 748, 0.002308
749.node, 749, 0.002337
750.node, 750, 0.002479
751.node, 751, 0.002473
752.node, 752, 0.002219
753.node, 753, 0.002212
754.node, 754, 0.002369
755.node, 755, 0.002462
756.node, 756, 0.002252
757.node, 757, 0.002268
758.node, 758, 0.002289
759.node, 759, 0.002328
760.node, 760, 0.002346
761.node, 761, 0.002366
762.node, 762, 0.002445
763.node, 763, 0.002616
764.node, 764, 0.002578
765.node, 765, 0.002502
766.node, 766, 0.002557
767.node, 767, 0.002406
768.node, 768, 0.002394
769.node, 769, 0.00241
770.node, 770, 0.002374
771.node, 771, 0.002396
772.node, 772, 0.00235
773.node, 773, 0.002376
774.node, 774, 0.002476
775.node, 775, 0.002436
776.node, 776, 0.002602
777.node, 777, 0.002611
778.node, 778, 0.002531
779.node, 779, 0.002456
780.node, 780, 0.002881
781.node, 781, 0.002577
782.node, 782, 0.002676
783.node, 783, 0.002489
784.node, 784, 0.002543
785.node, 785, 0.002518
786.node, 786, 0.002515
787.node, 787, 0.002756
788.node, 788, 0.002624
789.node, 789, 0.002759
790.node, 790, 0.002784
791.node, 791, 0.002446
792.node, 792, 0.002797
793.node, 793, 0.002467
794.node, 794, 0.002599
795.node, 795, 0.002528
796.node, 796, 0.002532
797.node, 797, 0.002749
798.node, 798, 0.00251
799.node, 799, 0.002489
800.node, 800, 0.002526
801.node, 801, 0.002836
802.node, 802, 0.002876
803.node, 803, 0.002695
804.node, 804, 0.002671
805.node, 805, 0.002589
806.node, 806, 0.002796
807.node, 807, 0.002736
808.node, 808, 0.003009
809.node, 809, 0.002629
810.node, 810, 0.002685
811.node, 811, 0.002701
812.node, 812, 0.002667
813.node, 813, 0.002884
814.node, 814, 0.002902
815.node, 815, 0.002694
816.node, 816, 0.003238
817.node, 817, 0.00306
818.node, 818, 0.002696
819.node, 819, 0.002725
820.node, 820, 0.002704
821.node, 821, 0.002739
822.node, 822, 0.002709
823.node, 823, 0.002711
824.node, 824, 0.002868
825.node, 825, 0.003032
826.node, 826, 0.002861
827.node, 827, 0.002941
828.node, 828, 0.002778
829.node, 829, 0.002823
830.node, 830, 0.002798
831.node, 831, 0.002892
832.node, 832, 0.002721
833.node, 833, 0.002751
834.node, 834, 0.002757
835.node, 835, 0.002733
836.node, 836, 0.003169
837.node, 837, 0.003136
838.node, 838, 0.003097
839.node, 839, 0.002777
840.node, 840, 0.002924
841.node, 841, 0.00357
842.node, 842, 0.003278
843.node, 843, 0.00304
844.node, 844, 0.002917
845.node, 845, 0.003166
846.node, 846, 0.003038
847.node, 847, 0.003285
848.node, 848, 0.002779
849.node, 849, 0.003086
850.node, 850, 0.003303
851.node, 851, 0.002949
852.node, 852, 0.002831
853.node, 853, 0.00291
854.node, 854, 0.002939
855.node, 855, 0.002967
856.node, 856, 0.003317
857.node, 857, 0.00324
858.node, 858, 0.003259
859.node, 859, 0.00291
860.node, 860, 0.00292
861.node, 861, 0.002964
862.node, 862, 0.002947
863.node, 863, 0.003713
864.node, 864, 0.003576
865.node, 865, 0.002987
866.node, 866, 0.003133
867.node, 867, 0.003454
868.node, 868, 0.003404
869.node, 869, 0.003183
870.node, 870, 0.003094
871.node, 871, 0.003471
872.node, 872, 0.003138
873.node, 873, 0.003125
874.node, 874, 0.00303
875.node, 875, 0.003098
876.node, 876, 0.003147
877.node, 877, 0.003566
878.node, 878, 0.003732
879.node, 879, 0.003456
880.node, 880, 0.003498
881.node, 881, 0.003291
882.node, 882, 0.003144
883.node, 883, 0.003313
884.node, 884, 0.003299
885.node, 885, 0.003176
886.node, 886, 0.003173
887.node, 887, 0.003286
888.node, 888, 0.003499
889.node, 889, 0.003325
890.node, 890, 0.003201
891.node, 891, 0.003214
892.node, 892, 0.003481
893.node, 893, 0.003277
894.node, 894, 0.003141
895.node, 895, 0.003135
896.node, 896, 0.003368
897.node, 897, 0.003221
898.node, 898, 0.003519
899.node, 899, 0.003792
900.node, 900, 0.003555
901.node, 901, 0.003458
902.node, 902, 0.003658
903.node, 903, 0.003339
904.node, 904, 0.003607
905.node, 905, 0.003331
906.node, 906, 0.003367
907.node, 907, 0.003523
908.node, 908, 0.003657
909.node, 909, 0.003273
910.node, 910, 0.003275
911.node, 911, 0.003241
912.node, 912, 0.003724
913.node, 913, 0.003228
914.node, 914, 0.003558
915.node, 915, 0.003296
916.node, 916, 0.003464
917.node, 917, 0.003733
918.node, 918, 0.003562
919.node, 919, 0.003365
920.node, 920, 0.003713
921.node, 921, 0.003443
922.node, 922, 0.003425
923.node, 923, 0.003375
924.node, 924, 0.003446
925.node, 925, 0.003551
926.node, 926, 0.003891
927.node, 927, 0.003791
928.node, 928, 0.003762
929.node, 929, 0.003423
930.node, 930, 0.003485
931.node, 931, 0.003519
932.node, 932, 0.00346
933.node, 933, 0.003425
934.node, 934, 0.003493
935.node, 935, 0.003613
936.node, 936, 0.00384
937.node, 937, 0.003683
938.node, 938, 0.003496
939.node, 939, 0.003774
940.node, 940, 0.003764
941.node, 941, 0.003589
942.node, 942, 0.003563
943.node, 943, 0.003736
944.node, 944, 0.003531
945.node, 945, 0.004019
946.node, 946, 0.003635
947.node, 947, 0.003729
948.node, 948, 0.003676
949.node, 949, 0.003515
950.node, 950, 0.003844
951.node, 951, 0.003543
952.node, 952, 0.003584
953.node, 953, 0.003579
954.node, 954, 0.003958
955.node, 955, 0.003793
956.node, 956, 0.004135
957.node, 957, 0.003669
958.node, 958, 0.00445
959.node, 959, 0.003828
960.node, 960, 0.003715
961.node, 961, 0.003727
962.node, 962, 0.004061
963.node, 963, 0.004104
964.node, 964, 0.003773
965.node, 965, 0.004326
966.node, 966, 0.003901
967.node, 967, 0.003808
968.node, 968, 0.004086
969.node, 969, 0.003819
970.node, 970, 0.003953
971.node, 971, 0.004244
972.node, 972, 0.00403
973.node, 973, 0.003732
974.node, 974, 0.003817
975.node, 975, 0.00384
976.node, 976, 0.003919
977.node, 977, 0.003814
978.node, 978, 0.003855
979.node, 979, 0.004489
980.node, 980, 0.004116
981.node, 981, 0.003789
982.node, 982, 0.004187
983.node, 983, 0.003926
984.node, 984, 0.003981
985.node, 985, 0.004132
986.node, 986, 0.004271
987.node, 987, 0.00421
988.node, 988, 0.00429
989.node, 989, 0.004262
990.node, 990, 0.004111
991.node, 991, 0.00399
992.node, 992, 0.004089
993.node, 993, 0.004238
994.node, 994, 0.004082
995.node, 995, 0.00413
996.node, 996, 0.004366
997.node, 997, 0.004211
998.node, 998, 0.003898
999.node, 999, 0.004256
1000.node, 1000, 0.003997
1001.node, 1001, 0.004036
1002.node, 1002, 0.003977
1003.node, 1003, 0.004095
1004.node, 1004, 0.004463
1005.node, 1005, 0.00411
1006.node, 1006, 0.004489
1007.node, 1007, 0.004218
1008.node, 1008, 0.00397
1009.node, 1009, 0.00408
1010.node, 1010, 0.004117
1011.node, 1011, 0.004294
1012.node, 1012, 0.004526
1013.node, 1013, 0.004525
1014.node, 1014, 0.004502
1015.node, 1015, 0.004242
1016.node, 1016, 0.004084
1017.node, 1017, 0.004236
1018.node, 1018, 0.004052
1019.node, 1019, 0.004447
1020.node, 1020, 0.00463
1021.node, 1021, 0.004122
1022.node, 1022, 0.004627
1023.node, 1023, 0.004232
1024.node, 1024, 0.004255
1025.node, 1025, 0.00416
1026.node, 1026, 0.004734
